지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,7호선,사가정,37.580912,127.088502,30076,12.0,0.33,0.67,8.0,0
서울,7호선,상도,37.50279,126.947949,21843,6.0,0.17,0.83,5.0,3
서울,7호선,상봉,37.595673,127.085708,34384,10.0,0.1,0.9,6.0,3
서울,7호선,수락산,37.677804,127.055314,23054,10.0,0.2,0.8,8.0,3
서울,7호선,숭실대입구,37.496258,126.953649,23106,9.0,0.33,0.67,7.0,0
서울,7호선,신대방삼거리,37.499717,126.928218,27930,13.0,0.31,0.69,9.0,0
서울,7호선,신풍,37.500107,126.909806,22041,9.0,0.22,0.78,7.0,3
서울,7호선,어린이대공원,37.547962,127.07465,25738,13.0,0.46,0.54,7.0,0
서울,7호선,온수,37.492059,126.823294,15929,4.0,0.25,0.75,4.0,3
서울,7호선,용마산,37.573752,127.086802,10796,6.0,0.17,0.83,5.0,3
서울,7호선,자양,37.531558,127.066714,15912,5.0,0.2,0.8,4.0,3
서울,7호선,장승배기,37.504845,126.939025,18223,10.0,0.3,0.7,8.0,0
서울,7호선,중계,37.645052,127.064084,25828,2.0,0.0,1.0,2.0,3
서울,7호선,중곡,37.565877,127.084291,20159,12.0,0.25,0.75,9.0,0
서울,7호선,중화,37.602604,127.079254,20604,9.0,0.11,0.89,6.0,3
서울,7호선,천왕,37.486699,126.838684,20980,4.0,0.25,0.75,4.0,3
서울,7호선,청담,37.519097,127.051851,35210,10.0,0.6,0.4,7.0,0
서울,7호선,총신대입구,37.485258,126.981766,38594,21.0,0.48,0.52,8.0,0
서울,7호선,태릉입구,37.618519,127.075361,15146,12.0,0.42,0.58,7.0,0
서울,7호선,하계,37.636363,127.067999,32304,8.0,0.12,0.88,6.0,3
서울,7호선,학동,37.514262,127.031738,42972,15.0,0.4,0.6,7.0,0
서울,8호선,가락시장,37.493004,127.118279,17537,12.0,0.5,0.5,7.0,0
서울,8호선,강동구청,37.530348,127.120461,20571,15.0,0.27,0.73,10.0,0
서울,8호선,몽촌토성,37.517692,127.11274,14994,17.0,0.41,0.59,11.0,0
서울,8호선,문정,37.485931,127.122473,43209,22.0,0.36,0.64,8.0,0
서울,8호선,복정,37.471016,127.126746,16102,0.0,0.0,0.0,0.0,2
서울,8호선,석촌,37.505396,127.106995,19020,16.0,0.31,0.69,9.0,0
